votes,ranking
29,5,4,3,2,1
67,5,4,3,1,2
37,5,4,2,3,1
24,5,4,2,1,3
43,5,4,1,3,2
28,5,4,1,2,3
57,5,3,4,2,1
49,5,3,4,1,2
22,5,3,2,4,1
22,5,3,2,1,4
34,5,3,1,4,2
26,5,3,1,2,4
54,5,2,4,3,1
44,5,2,4,1,3
26,5,2,3,4,1
24,5,2,3,1,4
35,5,2,1,4,3
50,5,2,1,3,4
50,5,1,4,3,2
46,5,1,4,2,3
25,5,1,3,4,2
19,5,1,3,2,4
11,5,1,2,4,3
29,5,1,2,3,4
31,4,5,3,2,1
54,4,5,3,1,2
34,4,5,2,3,1
24,4,5,2,1,3
38,4,5,1,3,2
30,4,5,1,2,3
91,4,3,5,2,1
84,4,3,5,1,2
30,4,3,2,5,1
35,4,3,2,1,5
38,4,3,1,5,2
35,4,3,1,2,5
58,4,2,5,3,1
66,4,2,5,1,3
24,4,2,3,5,1
51,4,2,3,1,5
52,4,2,1,5,3
40,4,2,1,3,5
50,4,1,5,3,2
45,4,1,5,2,3
31,4,1,3,5,2
23,4,1,3,2,5
22,4,1,2,5,3
16,4,1,2,3,5
71,3,5,4,2,1
61,3,5,4,1,2
41,3,5,2,4,1
27,3,5,2,1,4
45,3,5,1,4,2
36,3,5,1,2,4
107,3,4,5,2,1
133,3,4,5,1,2
62,3,4,2,5,1
28,3,4,2,1,5
87,3,4,1,5,2
35,3,4,1,2,5
41,3,2,5,4,1
64,3,2,5,1,4
34,3,2,4,5,1
75,3,2,4,1,5
82,3,2,1,5,4
74,3,2,1,4,5
30,3,1,5,4,2
34,3,1,5,2,4
40,3,1,4,5,2
42,3,1,4,2,5
30,3,1,2,5,4
34,3,1,2,4,5
35,2,5,4,3,1
34,2,5,4,1,3
40,2,5,3,4,1
21,2,5,3,1,4
106,2,5,1,4,3
79,2,5,1,3,4
63,2,4,5,3,1
53,2,4,5,1,3
44,2,4,3,5,1
28,2,4,3,1,5
162,2,4,1,5,3
96,2,4,1,3,5
45,2,3,5,4,1
52,2,3,5,1,4
53,2,3,4,5,1
52,2,3,4,1,5
186,2,3,1,5,4
172,2,3,1,4,5
36,2,1,5,4,3
42,2,1,5,3,4
24,2,1,4,5,3
26,2,1,4,3,5
30,2,1,3,5,4
40,2,1,3,4,5
40,1,5,4,3,2
35,1,5,4,2,3
36,1,5,3,4,2
17,1,5,3,2,4
70,1,5,2,4,3
50,1,5,2,3,4
52,1,4,5,3,2
48,1,4,5,2,3
51,1,4,3,5,2
24,1,4,3,2,5
70,1,4,2,5,3
45,1,4,2,3,5
35,1,3,5,4,2
28,1,3,5,2,4
37,1,3,4,5,2
35,1,3,4,2,5
95,1,3,2,5,4
102,1,3,2,4,5
34,1,2,5,4,3
35,1,2,5,3,4
29,1,2,4,5,3
27,1,2,4,3,5
28,1,2,3,5,4
30,1,2,3,4,5

